Date,Open,High,Low,Close,Volume,Adj Close
2014-02-14,3575.23,3583.92,3570.02,3580.44,000,3580.44
2014-02-13,3583.98,3584.00,3549.60,3575.23,000,3575.23
2014-02-12,3582.50,3598.74,3580.94,3583.99,000,3583.99
2014-02-11,3540.62,3582.50,3540.62,3582.50,000,3582.50
2014-02-10,3530.17,3543.32,3527.57,3540.62,000,3540.62
2014-02-07,3521.37,3541.02,3514.37,3530.17,000,3530.17
2014-02-06,3468.77,3524.33,3468.77,3521.37,000,3521.37
2014-02-05,3464.12,3481.42,3451.52,3468.77,000,3468.77
2014-02-04,3472.42,3478.33,3446.87,3464.12,000,3464.12
2014-02-03,3496.51,3509.63,3469.84,3472.42,000,3472.42
2014-01-31,3509.81,3515.84,3452.50,3496.51,000,3496.51
2014-01-30,3511.83,3523.77,3492.85,3509.81,000,3509.81
2014-01-29,3524.44,3564.03,3482.13,3511.82,000,3511.82
2014-01-28,3508.18,3532.19,3508.18,3524.44,000,3524.44
2014-01-27,3565.54,3565.63,3502.86,3508.18,000,3508.18
2014-01-24,3624.01,3629.64,3561.18,3565.54,000,3565.54
2014-01-23,3653.79,3658.00,3617.36,3624.01,000,3624.01
2014-01-22,3657.22,3672.80,3651.00,3653.79,000,3653.79
2014-01-21,3660.84,3673.54,3651.01,3657.22,000,3657.22
2014-01-20,3655.91,3660.96,3647.19,3660.84,000,3660.84
2014-01-17,3650.39,3661.99,3643.60,3655.91,000,3655.91
2014-01-16,3655.57,3660.39,3648.60,3650.39,000,3650.39
2014-01-15,3629.62,3657.17,3629.62,3655.57,000,3655.57
2014-01-14,3626.33,3631.58,3595.03,3629.62,000,3629.62
2014-01-13,3616.02,3629.96,3612.64,3626.33,000,3626.33
2014-01-10,3585.68,3627.07,3585.68,3616.03,000,3616.03
2014-01-09,3600.87,3612.66,3579.61,3585.68,000,3585.68
2014-01-08,3618.16,3618.17,3596.84,3600.88,000,3600.88
2014-01-07,3606.16,3624.10,3599.84,3618.16,000,3618.16
2014-01-06,3605.01,3616.87,3597.58,3606.16,000,3606.16
2014-01-03,3595.75,3612.18,3585.69,3605.00,000,3605.00
2014-01-02,3609.62,3614.66,3589.36,3595.75,000,3595.75
